Category,SubCategory,Noun,Description
Objects & Technology,Clothing & Accessories,Fedora,Felt hat with a wide brim and indented crown.
Objects & Technology,Clothing & Accessories,Sunglasses,Tinted eyewear used to protect eyes from sunlight.
Objects & Technology,Clothing & Accessories,Tuxedo,"Formal suit for men, worn at black-tie events."
Objects & Technology,Clothing & Accessories,Bow Tie,Type of necktie tied in a symmetrical bow shape.
Objects & Technology,Clothing & Accessories,Raincoat,Waterproof garment worn to protect the body from rain.
Objects & Technology,Clothing & Accessories,Flip-Flops,Simple light sandals with a thong between the toes.
Objects & Technology,Clothing & Accessories,Kimono,Traditional Japanese T-shaped wrapped-front garment.
Objects & Technology,Clothing & Accessories,Backpack,Bag carried on the back with two shoulder straps.
Objects & Technology,Clothing & Accessories,Wristwatch,Small timepiece intended to be worn around the wrist.
Objects & Technology,Clothing & Accessories,Space Suit,Complex garment worn to keep humans alive in space.
Objects & Technology,Clothing & Accessories,Leather Jacket,Durable coat made from the tanned hide of animals.
Objects & Technology,Clothing & Accessories,Tiara,Jeweled ornamental crown traditionally worn by women.
Objects & Technology,Clothing & Accessories,Mittens,Hand coverings with a separate section for thumbs.
Objects & Technology,Clothing & Accessories,Scarf,Length of fabric worn around the neck for warmth.
Objects & Technology,Clothing & Accessories,Cowboy Boots,Riding boots with a high heel and pointed toe.
Objects & Technology,Clothing & Accessories,Tutu,Skirt made of many layers of tulle worn by ballerinas.
Objects & Technology,Clothing & Accessories,Cape,Sleeveless outer garment that hangs from the neck.
Objects & Technology,Clothing & Accessories,Beret,"Soft, round, flat-crowned hat usually made of felt."
Objects & Technology,Clothing & Accessories,Sneakers,Casual shoes designed for sports or everyday exercise.
,,,
Objects & Technology,Modern Gadgets,Smartphone,Mobile phone that performs functions of a computer.
Objects & Technology,Modern Gadgets,VR Headset,Device worn over eyes to provide 3D simulations.
Objects & Technology,Modern Gadgets,Drone,Remotely piloted aircraft used for photography.
Objects & Technology,Modern Gadgets,Smartwatch,Wearable device that offers computing capabilities.
Objects & Technology,Modern Gadgets,Tablet,Portable computer with a touchscreen interface.
Objects & Technology,Modern Gadgets,Laptop,"Small, portable computer suitable for use while traveling."
Objects & Technology,Modern Gadgets,Bluetooth Speaker,Wireless audio device that connects via Bluetooth.
Objects & Technology,Modern Gadgets,Digital Camera,Device that encodes images and videos into digital files.
Objects & Technology,Modern Gadgets,Robot Vacuum,Autonomous device that cleans floors without help.
Objects & Technology,Modern Gadgets,E-reader,Electronic device designed for reading digital books.
Objects & Technology,Modern Gadgets,Game Console,Computer system designed for playing video games.
Objects & Technology,Modern Gadgets,Noise-Canceling Headphones,Audio device that reduces unwanted ambient sounds.
Objects & Technology,Modern Gadgets,Electric Scooter,Two-wheeled vehicle powered by an electric motor.
Objects & Technology,Modern Gadgets,3D Printer,Machine that creates 3D objects from a digital file.
Objects & Technology,Modern Gadgets,Action Camera,"Rugged, waterproof camera for filming sports."
Objects & Technology,Modern Gadgets,Portable Charger,External battery pack used to charge mobile devices.
Objects & Technology,Modern Gadgets,GPS Device,Electronic system that provides navigation info.
Objects & Technology,Modern Gadgets,Smart Thermostat,Wi-Fi enabled device that controls home heating.
Objects & Technology,Modern Gadgets,Wireless Mouse,Computer pointing device that connects without a cable.
Objects & Technology,Modern Gadgets,Microphone,Instrument for converting sound into electrical energy.
,,,
Objects & Technology,Transportation,Hot Air Balloon,Aircraft consisting of a bag filled with heated air.
Objects & Technology,Transportation,Submarine,Watercraft capable of operating under the ocean.
Objects & Technology,Transportation,Unicycle,Vehicle that has only one wheel and is pedal-driven.
Objects & Technology,Transportation,Helicopter,Aircraft with overhead rotors for vertical takeoff.
Objects & Technology,Transportation,Steam Engine,Engine that performs work using steam as its fluid.
Objects & Technology,Transportation,Kayak,Narrow watercraft propelled by a double-bladed paddle.
Objects & Technology,Transportation,Motorcycle,Two-wheeled motor vehicle with an engine.
Objects & Technology,Transportation,Space Shuttle,Reusable spacecraft used for Earth orbit missions.
Objects & Technology,Transportation,Gondola,Traditional narrow flat-bottomed boat used in Venice.
Objects & Technology,Transportation,Tractor,Powerful motor vehicle used for pulling farm machinery.
Objects & Technology,Transportation,Bulldozer,Powerful tractor with a broad blade for moving earth.
Objects & Technology,Transportation,Skateboard,Short board with wheels used for riding or tricks.
Objects & Technology,Transportation,Yacht,"Large, luxurious boat used for private recreation."
Objects & Technology,Transportation,Hang Glider,Non-motorized aircraft where the pilot flies in a harness.
Objects & Technology,Transportation,Segway,"Two-wheeled, self-balancing personal transporter."
Objects & Technology,Transportation,Tandem Bicycle,Bicycle designed to be ridden by two people at once.
Objects & Technology,Transportation,Cable Car,Transportation system using cars pulled by a cable.
Objects & Technology,Transportation,Hovercraft,Vehicle that travels over land or water on air.
Objects & Technology,Transportation,Tugboat,Powerful boat used for towing or pushing larger ships.
Objects & Technology,Transportation,Bullet Train,High-speed passenger rail with a streamlined shape.
,,,
Objects & Technology,Toys & Hobbies,Rubik’s Cube,3D combination puzzle with colored faces.
Objects & Technology,Toys & Hobbies,Lego Bricks,Plastic building blocks that can be assembled.
Objects & Technology,Toys & Hobbies,Hula Hoop,Large plastic ring that is twirled around the waist.
Objects & Technology,Toys & Hobbies,Yo-Yo,Toy consisting of an axle connected to two disks.
Objects & Technology,Toys & Hobbies,Jigsaw Puzzle,Tiling puzzle that requires interlocking pieces.
Objects & Technology,Toys & Hobbies,Model Airplane,Small-scale representation of a real aircraft.
Objects & Technology,Toys & Hobbies,Chessboard,Square board with sixty-four alternating squares.
Objects & Technology,Toys & Hobbies,Playing Cards,Set of rectangular cards used for various games.
Objects & Technology,Toys & Hobbies,Teddy Bear,Soft toy animal typically shaped like a bear.
Objects & Technology,Toys & Hobbies,Slime,"Gooey, non-Newtonian fluid used as a sensory toy."
Objects & Technology,Toys & Hobbies,Frisbee,Gliding toy or sporting item that is thrown.
Objects & Technology,Toys & Hobbies,Jump Rope,Length of rope used for skipping over as a workout.
Objects & Technology,Toys & Hobbies,Etch A Sketch,Mechanical drawing toy with two control knobs.
Objects & Technology,Toys & Hobbies,Slinky,"Helical spring toy that can ""walk"" down stairs."
Objects & Technology,Toys & Hobbies,Action Figure,Posable character figurine based on movies or comics.
Objects & Technology,Toys & Hobbies,Dollhouse,Toy home made in miniature for dolls to live in.
Objects & Technology,Toys & Hobbies,Marbles,Small spherical toys made of glass or stone.
Objects & Technology,Toys & Hobbies,Origami,Japanese art of folding paper into decorative shapes.
Objects & Technology,Toys & Hobbies,Binoculars,Optical instrument for magnified views of distant objects.
Objects & Technology,Toys & Hobbies,Deck of Cards,A standard set of 52 playing cards.
,,,
Concepts & Extras,Animals (Wild),African Elephant,"The largest living land animal, known for its tusks."
Concepts & Extras,Animals (Wild),Great White Shark,A large predatory fish famous for its powerful jaws.
Concepts & Extras,Animals (Wild),Bald Eagle,A bird of prey that is the national symbol of the USA.
Concepts & Extras,Animals (Wild),Platypus,A unique egg-laying mammal with a duck-like bill.
Concepts & Extras,Animals (Wild),Komodo Dragon,"The largest living species of lizard, found in Indonesia."
Concepts & Extras,Animals (Wild),Penguin,A flightless sea bird that lives primarily in the Southern Hemisphere.
Concepts & Extras,Animals (Wild),Sloth,A slow-moving tropical mammal that lives in trees.
Concepts & Extras,Animals (Wild),Tiger,A large cat species with dark vertical stripes on orange fur.
Concepts & Extras,Animals (Wild),Kangaroo,A large marsupial from Australia that moves by hopping.
Concepts & Extras,Animals (Wild),Gorilla,"The largest living primate, native to the forests of Africa."
Concepts & Extras,Animals (Wild),Blue Whale,The largest animal known to have ever existed.
Concepts & Extras,Animals (Wild),Polar Bear,A large white bear that lives in the Arctic Circle.
Concepts & Extras,Animals (Wild),Chameleon,A lizard known for its ability to change skin color.
Concepts & Extras,Animals (Wild),Jellyfish,A gelatinous sea creature with stinging tentacles.
Concepts & Extras,Animals (Wild),Giraffe,"The tallest living terrestrial animal, known for its long neck."
Concepts & Extras,Animals (Wild),Wolf,A wild carnivorous mammal that is the ancestor of the dog.
Concepts & Extras,Animals (Wild),Meerkat,A small mongoose that lives in social groups in Africa.
Concepts & Extras,Animals (Wild),Octopus,A sea creature with eight arms and a highly developed brain.
Concepts & Extras,Animals (Wild),Zebra,An African wild horse with distinctive black-and-white stripes.
Concepts & Extras,Animals (Wild),Owl,A nocturnal bird of prey with large eyes and silent flight.
,,,
Concepts & Extras,Animals (Domestic/Small),Golden Retriever,A popular breed of dog known for its friendly nature.
Concepts & Extras,Animals (Domestic/Small),Siamese Cat,A distinctive breed of cat with blue eyes and point coloration.
Concepts & Extras,Animals (Domestic/Small),Hamster,A small rodent often kept as a household pet.
Concepts & Extras,Animals (Domestic/Small),Goldfish,A small reddish-golden carp frequently kept in aquariums.
Concepts & Extras,Animals (Domestic/Small),Hedgehog,A small mammal covered in sharp spines for protection.
Concepts & Extras,Animals (Domestic/Small),Parakeet,A small parrot often kept in a cage as a pet.
Concepts & Extras,Animals (Domestic/Small),Alpaca,A domesticated South American camelid known for its wool.
Concepts & Extras,Animals (Domestic/Small),Pot-bellied Pig,A small breed of pig often kept as an exotic pet.
Concepts & Extras,Animals (Domestic/Small),Ferret,"A small, slender domesticated mammal in the weasel family."
Concepts & Extras,Animals (Domestic/Small),Hermit Crab,A crustacean that lives in scavenged snail shells.
Concepts & Extras,Animals (Domestic/Small),Guinea Pig,A small species of rodent commonly kept as a pet.
Concepts & Extras,Animals (Domestic/Small),Rabbit,A small burrowing mammal with long ears and a short tail.
Concepts & Extras,Animals (Domestic/Small),Pony,"A small type of horse, usually under 14.2 hands high."
Concepts & Extras,Animals (Domestic/Small),Goat,A hardy domesticated mammal often raised for milk and wool.
Concepts & Extras,Animals (Domestic/Small),Chicken,A common domestic bird raised for its eggs and meat.
Concepts & Extras,Animals (Domestic/Small),Honeybee,An insect that lives in hives and produces wax and honey.
Concepts & Extras,Animals (Domestic/Small),Ladybug,"A small, colorful beetle typically red with black spots."
Concepts & Extras,Animals (Domestic/Small),Firefly,A beetle that produces light from its abdomen at night.
Concepts & Extras,Animals (Domestic/Small),Butterfly,"An insect with large, often colorful wings and a slender body."
Concepts & Extras,Animals (Domestic/Small),Snail,A mollusk with a coiled shell into which it can retract.
,,,
Concepts & Extras,Abstract Concepts,True Love,A profound and passionate affection for another person.
Concepts & Extras,Abstract Concepts,World Peace,An ideal state of freedom and happiness among all nations.
Concepts & Extras,Abstract Concepts,Chaos,A state of utter confusion or disorder.
Concepts & Extras,Abstract Concepts,Freedom,"The power or right to act, speak, or think freely."
Concepts & Extras,Abstract Concepts,Justice,The quality of being fair and reasonable.
Concepts & Extras,Abstract Concepts,Curiosity,A strong desire to know or learn something.
Concepts & Extras,Abstract Concepts,Luck,Success or failure apparently brought by chance rather than actions.
Concepts & Extras,Abstract Concepts,Wisdom,"The quality of having experience, knowledge, and good judgment."
Concepts & Extras,Abstract Concepts,Silence,The complete absence of sound.
Concepts & Extras,Abstract Concepts,Greed,Intense and selfish desire for wealth or power.
Concepts & Extras,Abstract Concepts,Courage,The ability to do something that frightens one.
Concepts & Extras,Abstract Concepts,Nostalgia,A sentimental longing for the past.
Concepts & Extras,Abstract Concepts,Imagination,The faculty of forming new ideas or images in the mind.
Concepts & Extras,Abstract Concepts,Honesty,The quality of being truthful and sincere.
Concepts & Extras,Abstract Concepts,Success,The accomplishment of an aim or purpose.
Concepts & Extras,Abstract Concepts,Jealousy,The state of being resentful of someone's advantages.
Concepts & Extras,Abstract Concepts,Harmony,The quality of forming a pleasing and consistent whole.
Concepts & Extras,Abstract Concepts,Hope,A feeling of expectation and desire for a certain thing.
Concepts & Extras,Abstract Concepts,Ambition,A strong desire to do or achieve something.
Concepts & Extras,Abstract Concepts,Humility,A modest or low view of one's own importance.
,,,
Concepts & Extras,Events & Holidays,Halloween,A holiday on October 31st involving costumes and candy.
Concepts & Extras,Events & Holidays,Super Bowl,The annual championship game of the NFL.
Concepts & Extras,Events & Holidays,Graduation,The receiving of an academic degree or diploma.
Concepts & Extras,Events & Holidays,Birthday Party,A celebration of the anniversary of someone's birth.
Concepts & Extras,Events & Holidays,Wedding,"A marriage ceremony, typically with a reception."
Concepts & Extras,Events & Holidays,New Year’s Eve,"The last day of the year, often celebrated with parties."
Concepts & Extras,Events & Holidays,Summer Vacation,A long break from school or work during the summer.
Concepts & Extras,Events & Holidays,Thanksgiving,A North American holiday for expressing gratitude.
Concepts & Extras,Events & Holidays,Olympics,A major international sporting event held every four years.
Concepts & Extras,Events & Holidays,Moon Landing,The arrival of a spacecraft on the surface of the moon.
Concepts & Extras,Events & Holidays,Mardi Gras,A carnival held on Shrove Tuesday with parades and masks.
Concepts & Extras,Events & Holidays,Carnival,A traveling amusement show or a festive public period.
Concepts & Extras,Events & Holidays,Music Festival,A series of performances by various musicians over several days.
Concepts & Extras,Events & Holidays,Solar Eclipse,When the moon passes between the sun and the earth.
Concepts & Extras,Events & Holidays,Family Reunion,A gathering of extended family members.
Concepts & Extras,Events & Holidays,Road Trip,A long journey made by car.
Concepts & Extras,Events & Holidays,Prom,A formal dance held for high school students.
Concepts & Extras,Events & Holidays,Christmas,A holiday celebrating the birth of Jesus Christ.
Concepts & Extras,Events & Holidays,St. Patrick’s Day,A cultural and religious holiday celebrated on March 17th.
Concepts & Extras,Events & Holidays,Earth Day,An annual event to support environmental protection.
,,,
,,,
Concepts & Extras,"The ""Random"" Pile",Duct Tape,"Strong, cloth-backed, waterproof adhesive tape."
Concepts & Extras,"The ""Random"" Pile",A Rusty Nail,A piece of metal used for fastening that has oxidized.
Concepts & Extras,"The ""Random"" Pile",Bubble Wrap,Plastic packaging material consisting of small air-filled bubbles.
Concepts & Extras,"The ""Random"" Pile",Freshly Cut Grass,The scent or sight of a recently mowed lawn.
Concepts & Extras,"The ""Random"" Pile",A Secret Message,Information intended to be understood only by few.
Concepts & Extras,"The ""Random"" Pile",Static Electricity,A stationary electric charge built up on an object.
Concepts & Extras,"The ""Random"" Pile",A Magic Trick,An entertainment act that seems impossible.
Concepts & Extras,"The ""Random"" Pile",Fog,A thick cloud of tiny water droplets suspended near Earth.
Concepts & Extras,"The ""Random"" Pile",Morning Dew,Tiny drops of water that form on cool surfaces overnight.
Concepts & Extras,"The ""Random"" Pile",A Lost Sock,A single piece of footwear missing its pair.
Concepts & Extras,"The ""Random"" Pile",Junk Mail,Unsolicited advertising sent through the post.
Concepts & Extras,"The ""Random"" Pile",Sandpaper,Paper with an abrasive surface used for smoothing wood.
Concepts & Extras,"The ""Random"" Pile",A New Car Smell,The unique scent of a brand-new vehicle.
Concepts & Extras,"The ""Random"" Pile",Broken Glass,Sharp fragments from a shattered transparent material.
Concepts & Extras,"The ""Random"" Pile",Glitter,"Tiny, shimmering pieces of material used for decoration."
Concepts & Extras,"The ""Random"" Pile",A Fortune Cookie,A crisp cookie containing a paper with a prediction.
Concepts & Extras,"The ""Random"" Pile",Quicksand,Loose wet sand that yields easily to pressure.
Concepts & Extras,"The ""Random"" Pile",A Hidden Trapdoor,A secret door flush with the floor or ceiling.
Concepts & Extras,"The ""Random"" Pile",Mud,"Soft, sticky matter resulting from mixing earth and water."
Concepts & Extras,"The ""Random"" Pile",Lint,Tiny bits of fabric and fiber found on clothing.
